City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Puerto Varas,CL,-41.3195,-72.9854,57.42,100,100,3.44,overcast clouds
158,Anadyr,RU,64.75,177.4833,12.7,79,20,17.9,few clouds
159,Tukrah,LY,32.5341,20.5791,66.04,75,32,11.39,scattered clouds
160,Faya,SA,18.3851,42.4509,52.32,73,0,2.08,clear sky
161,Pundaguitan,PH,6.3711,126.1689,80.96,83,100,13.33,overcast clouds
162,Nicoya,CR,10.1483,-85.452,74.1,87,48,4.09,scattered clouds
163,Victoria,HK,22.2855,114.1577,82.04,79,0,8.01,clear sky
164,Vila Velha,BR,-20.3297,-40.2925,71.94,80,20,11.01,few clouds
165,Kirakira,SB,-10.4544,161.9205,80.74,83,100,8.41,overcast clouds
166,Kodiak,US,57.79,-152.4072,42.31,93,100,9.22,overcast clouds
167,Isangel,VU,-19.55,169.2667,83.21,73,40,12.95,scattered clouds
168,Djambala,CG,-2.5447,14.7533,65.17,95,100,2.44,overcast clouds
169,Butaritari,KI,3.0707,172.7902,80.96,75,69,13.0,broken clouds
170,Chapais,CA,49.7834,-74.8492,16.34,93,100,9.15,light snow
171,Carahue,CL,-38.7,-73.1667,53.33,99,70,1.92,broken clouds
172,Nelson Bay,AU,-32.7167,152.15,69.85,61,64,13.0,broken clouds
173,Charters Towers,AU,-20.1,146.2667,87.93,43,89,15.88,overcast clouds
174,Lata,PT,40.1629,-8.3327,58.82,97,70,3.94,light rain
175,Oriximina,BR,-1.7656,-55.8661,79.03,56,41,3.65,scattered clouds
176,Avarua,CK,-21.2078,-159.775,78.85,83,40,17.27,scattered clouds
177,Ribeira Grande,PT,38.5167,-28.7,58.77,67,15,7.0,few clouds
178,Lima,PE,-12.0432,-77.0282,63.9,82,0,13.8,clear sky
179,Acarau,BR,-2.8856,-40.12,78.84,79,25,12.59,scattered clouds
180,Grindavik,IS,63.8424,-22.4338,43.27,93,40,9.22,scattered clouds
181,Souillac,MU,-20.5167,57.5167,71.42,60,4,4.45,clear sky
182,Hasaki,JP,35.7333,140.8333,63.21,55,87,9.6,overcast clouds
183,Stokmarknes,NO,68.5646,14.9108,26.58,80,96,3.44,overcast clouds
184,Labuhan,ID,-6.8844,112.2051,83.88,66,100,6.69,overcast clouds
185,Port Blair,IN,11.6667,92.75,81.0,79,100,10.04,overcast clouds
186,Gunjur,GM,13.2019,-16.7339,75.27,100,97,5.75,overcast clouds
187,Sabang,ID,5.8933,95.3214,82.04,73,100,15.75,overcast clouds
188,Pontalina,BR,-17.525,-49.4472,72.43,46,3,4.36,clear sky
189,Klaksvik,FO,62.2266,-6.589,47.32,83,90,36.31,light rain
190,Kavieng,PG,-2.5744,150.7967,85.24,63,93,10.87,overcast clouds
191,Khatanga,RU,71.9667,102.5,-21.73,89,99,9.06,overcast clouds
