City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
136,Sungaipenuh,ID,75.36,light rain,-2.0833,101.3833,Penginapan Citra Alam
137,Dogondoutchi,NE,72.99,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
138,Vila Franca Do Campo,PT,59.2,few clouds,37.7167,-25.4333,Pestana Bahia Praia
139,Svetlaya,RU,33.66,overcast clouds,46.5389,138.3297,
140,Port Elizabeth,ZA,63.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
141,Beberibe,BR,78.33,clear sky,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
142,Sur,OM,74.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
143,Airai,TL,78.24,few clouds,-8.9266,125.4092,
144,Bengkulu,ID,82.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
145,Aracruz,BR,70.81,overcast clouds,-19.8203,-40.2733,"Hotel Iramar, Aracruz"
146,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
147,Hamilton,US,30.97,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
148,Muroto,JP,63.45,clear sky,33.2833,134.15,Oota Ryokan
149,Fortuna,US,44.98,overcast clouds,40.5982,-124.1573,Super 8 Fortuna
150,Mount Gambier,AU,72.39,overcast clouds,-37.8333,140.7667,The Commodore
151,Ilulissat,GL,21.22,light snow,69.2167,-51.1,Hotel Arctic
153,Harper,LR,77.31,light rain,4.375,-7.7169,Screensaver
154,Nekrasovka,RU,28.42,few clouds,48.3525,135.2325,
155,Olafsvik,IS,44.15,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
156,Kamenka,RU,36.97,light rain,51.3223,42.7678,
157,Puerto Varas,CL,57.42,overcast clouds,-41.3195,-72.9854,Hotel Solace Puerto Varas
158,Anadyr,RU,12.7,few clouds,64.75,177.4833,Отке17.ру — жильё для командированных
159,Tukrah,LY,66.04,scattered clouds,32.5341,20.5791,Lagrota restaurant
160,Faya,SA,52.32,clear sky,18.3851,42.4509,شيلة نسايم
161,Pundaguitan,PH,80.96,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
162,Nicoya,CR,74.1,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
163,Victoria,HK,82.04,clear sky,22.2855,114.1577,Mini Central
164,Vila Velha,BR,71.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
165,Kirakira,SB,80.74,overcast clouds,-10.4544,161.9205,SanBiz Lodge
166,Kodiak,US,42.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
167,Isangel,VU,83.21,scattered clouds,-19.55,169.2667,Tanna Lodge
168,Djambala,CG,65.17,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
169,Butaritari,KI,80.96,broken clouds,3.0707,172.7902,Isles Sunset Lodge
170,Chapais,CA,16.34,light snow,49.7834,-74.8492,Hôtel Opémiska
171,Carahue,CL,53.33,broken clouds,-38.7,-73.1667,Hospedaje Familiar
172,Nelson Bay,AU,69.85,broken clouds,-32.7167,152.15,Mantra Nelson Bay
173,Charters Towers,AU,87.93,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
174,Lata,PT,58.82,light rain,40.1629,-8.3327,Terraços da Beira
175,Oriximina,BR,79.03,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
176,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
177,Ribeira Grande,PT,58.77,few clouds,38.5167,-28.7,Quinta da Meia Eira
178,Lima,PE,63.9,clear sky,-12.0432,-77.0282,Hotel Kamana
179,Acarau,BR,78.84,scattered clouds,-2.8856,-40.12,castelo pizzaria
180,Grindavik,IS,43.27,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
181,Souillac,MU,71.42,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
182,Hasaki,JP,63.21,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
183,Stokmarknes,NO,26.58,overcast clouds,68.5646,14.9108,Vesterålen Kysthotell
184,Labuhan,ID,83.88,overcast clouds,-6.8844,112.2051,DoubleFAG
185,Port Blair,IN,81.0,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
186,Gunjur,GM,75.27,overcast clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
187,Sabang,ID,82.04,overcast clouds,5.8933,95.3214,Hotel Citra
188,Pontalina,BR,72.43,clear sky,-17.525,-49.4472,Hotel Entre Rios
189,Klaksvik,FO,47.32,light rain,62.2266,-6.589,Airbnb rooms
190,Kavieng,PG,85.24,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
192,Bonfim,BR,82.08,light rain,3.0833,-59.95,
193,Serenje,ZM,63.25,clear sky,-13.2325,30.2352,IBOLELO INN
195,Chuy,UY,63.46,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
196,Svirsk,RU,21.81,broken clouds,53.0858,103.3325,
197,Bhadrachalam,IN,68.13,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
198,Pamanukan,ID,84.78,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
200,Timizart,DZ,60.03,clear sky,36.8,4.2667,TOUATI LOTFI
201,Akdepe,TM,42.66,overcast clouds,42.0551,59.3788,
202,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
203,Malaut,IN,63.99,clear sky,30.2167,74.4833,"Sea Shell Resort, Malout"
204,Los Llanos De Aridane,ES,64.15,clear sky,28.6585,-17.9182,Valle Aridane
205,Singkawang,ID,78.6,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
206,Omboue,GA,73.8,overcast clouds,-1.5746,9.2618,Hotel Olako
208,Ancud,CL,58.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
209,Caucaia,BR,81.03,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
210,Takoradi,GH,77.68,overcast clouds,4.8845,-1.7554,Raybow International Hotel
211,Bluff,NZ,58.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
212,Rawson,AR,64.51,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
213,Lazarev,RU,24.76,overcast clouds,52.225,141.5131,
214,Bambous Virieux,MU,75.22,clear sky,-20.3428,57.7575,Casa Tia Villa
215,Ghanzi,BW,75.83,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
216,Poya,NC,81.46,scattered clouds,-21.35,165.15,
217,Codrington,AU,67.8,scattered clouds,-38.2667,141.9667,
218,Bubaque,GW,83.07,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
220,Rantepao,ID,82.08,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
221,Sistranda,NO,40.96,overcast clouds,63.7256,8.834,Hotell Frøya
222,Atar,MR,72.32,clear sky,20.5169,-13.0499,Oumou Elghoura
223,Umm Lajj,SA,72.01,broken clouds,25.0213,37.2685,Juman Hotel
224,Hobyo,SO,80.51,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
225,Westport,US,39.74,clear sky,41.1415,-73.3579,The Westport Inn
226,Sampit,ID,75.96,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
229,Mar Del Plata,AR,60.94,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
230,Lichuan,CN,50.25,overcast clouds,30.3,108.85,Yuanlai Homestay
231,Neiafu,TO,79.2,clear sky,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
232,Catamarca,AR,87.06,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
234,Hithadhoo,MV,81.32,few clouds,-0.6,73.0833,Scoop Guest House
236,Batemans Bay,AU,66.09,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
237,La Ronge,CA,14.47,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
238,Matam,SN,78.93,clear sky,15.6175,-13.3303,Hotel Beelel Jeeri
239,Midland,US,45.48,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
241,Katsuura,JP,61.38,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
242,Tautira,PF,76.44,light rain,-17.7333,-149.15,Pension Oaoa
243,Amapa,BR,73.78,overcast clouds,1.0,-52.0,
